Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,PRICE_DATE,PRICE_TYPE,BASE_CURRENCY,PRICE_CURRENCY,FX_RATE
,,,,,,,,,2023-10-24 00:00:00.000,Fixing 16h,EUR,CHF,0.9468
,,,,,,,,,2023-10-23 00:00:00.000,Fixing 16h,EUR,CHF,0.94905
,,,,,,,,,2023-10-20 00:00:00.000,Fixing 16h,EUR,CHF,0.944
,,,,,,,,,2023-10-19 00:00:00.000,Fixing 16h,EUR,CHF,0.9476
,,,,,,,,,2023-10-18 00:00:00.000,Fixing 16h,EUR,CHF,0.9463
,,,,,,,,,2023-10-17 00:00:00.000,Fixing 16h,EUR,CHF,0.9524
,,,,,,,,,2023-10-16 00:00:00.000,Fixing 16h,EUR,CHF,0.951
,,,,,,,,,2023-10-13 00:00:00.000,Fixing 16h,EUR,CHF,0.95035
,,,,,,,,,2023-10-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9567
,,,,,,,,,2023-10-11 00:00:00.000,Fixing 16h,EUR,CHF,0.9586
,,,,,,,,,2023-10-10 00:00:00.000,Fixing 16h,EUR,CHF,0.9598
,,,,,,,,,2023-10-09 00:00:00.000,Fixing 16h,EUR,CHF,0.95695
,,,,,,,,,2023-10-06 00:00:00.000,Fixing 16h,EUR,CHF,0.96305
,,,,,,,,,2023-10-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9625
,,,,,,,,,2023-10-04 00:00:00.000,Fixing 16h,EUR,CHF,0.9645
,,,,,,,,,2023-10-03 00:00:00.000,Fixing 16h,EUR,CHF,0.96505
,,,,,,,,,2023-10-02 00:00:00.000,Fixing 16h,EUR,CHF,0.96485
,,,,,,,,,2023-09-30 00:00:00.000,Fixing 16h,EUR,CHF,0.96855
,,,,,,,,,2023-09-29 00:00:00.000,Fixing 16h,EUR,CHF,0.96855
,,,,,,,,,2023-09-28 00:00:00.000,Fixing 16h,EUR,CHF,0.96815
,,,,,,,,,2023-09-27 00:00:00.000,Fixing 16h,EUR,CHF,0.9669
,,,,,,,,,2023-09-26 00:00:00.000,Fixing 16h,EUR,CHF,0.9671
,,,,,,,,,2023-09-25 00:00:00.000,Fixing 16h,EUR,CHF,0.9661
,,,,,,,,,2023-09-22 00:00:00.000,Fixing 16h,EUR,CHF,0.96555
,,,,,,,,,2023-09-21 00:00:00.000,Fixing 16h,EUR,CHF,0.9625
,,,,,,,,,2023-09-20 00:00:00.000,Fixing 16h,EUR,CHF,0.9589
,,,,,,,,,2023-09-19 00:00:00.000,Fixing 16h,EUR,CHF,0.95965
,,,,,,,,,2023-09-18 00:00:00.000,Fixing 16h,EUR,CHF,0.95855
,,,,,,,,,2023-09-15 00:00:00.000,Fixing 16h,EUR,CHF,0.9567
,,,,,,,,,2023-09-14 00:00:00.000,Fixing 16h,EUR,CHF,0.954
